Confidence, Login
45.5243899478166,True
38.675798782458216,True
44.27335006248716,True
41.104188324448664,True
56.15195703265673,False
60.38740624689346,False
43.11747790337146,True
39.21378303401617,True
41.85703077024834,True
43.912132787363454,True
42.588896657080504,True
47.770153518753865,True
51.427899482924744,False - Ale
48.271763860243084,False
77.98337550915443,False
50.90619960338136,False
47.752291798625485,True
58.804881652468,False
47.67082214090259,True
50.877596551432646,False
68.54060839017968,False
50.9374939065798,False
44.567537102707284,True
34.01161279096713,True
40.98826071111966,True
47.13912337229361,True
38.20629270094429,True
40.78201234102138,True
49.408110670241086,False
44.783888991829706,True
52.69855642590301,False
46.85659391379245,True
42.76589788227358,True
46.346464425965166,True
41.491981981313494,True
52.460000349045636,False
41.96022058803776,True
44.58715678464856,True
40.681598428985026,True
42.91033660555932,True
49.76661935972113,True
63.52666061779221,False
26.9909983681195,True
78.13148143993725,False
58.652397670923385,False
46.89637229368016,True
36.25468742061774,True
61.89687470414327,False
44.97677649398276,True
31.370493231317116,True
28.755942621841275,True
34.23389211640299,True
57.84985782755799,False
45.64897794458184,True
42.99098977857943,True
31.009492742090057,True
24.62955076149677,True
60.084321927060316,False
58.93345617466755,False
33.05964615952988,True
36.636215925054366,True
31.90738813290307,True
